     Depth;ArrivalTime1_Manual;ArrivalTime2_Manual;ArrivalTime3_Manual
12.58;260;280;305.882
12.6;261.647;282.353;308.941
12.62;261.647;283.765;309.412
12.64;263.059;285.647;310.824
12.66;265.882;287.059;311.765
12.68;269.647;288.706;314.118
12.7;270.353;291.059;318.118
12.72;270.353;294.353;320.941
12.74;-999;300.706;323.294
12.76;-999;303.059;329.647
12.78;-999;308.941;329.647
12.8;286.471;308.941;335.529
12.82;292.794;310.353;336.471
12.84;294.559;317.176;341.176
12.86;298.235;317.176;348.471
12.88;301.618;320;352
12.9;308.235;323.765;355.765
12.92;309.412;328.235;358.588
12.94;315.735;335.529;364
12.96;317.206;341.647;371.765
12.98;319.412;342.824;374.588
13;-999;342.824;375.059
13.02;-999;340.235;375.059
13.04;311.765;339.765;372.235
13.06;307.059;339.294;367.294
13.08;307.353;338.824;363.529
13.1;308.235;336.471;359.059
13.12;308.824;332.471;358.588
13.14;306.029;330.118;356.235
13.16;306.029;329.647;356.706
13.18;305.882;326.353;358.118
13.2;308.941;330.118;365.412
13.22;312.235;330.588;366.824
13.24;314.588;335.059;366.824
13.26;314.588;339.765;373.176
13.28;317.176;348.941;374.118
13.3;324.941;353.412;374.118
13.32;327.294;352.941;372.706
13.34;327.294;348.941;367.765
13.36;327.294;345.176;365.412
13.38;323.765;343.294;361.176
13.4;320.471;339.765;360
13.42;316.235;338.353;360
13.44;313.647;338.353;361.176
13.46;313.176;336.471;361.647
13.48;313.176;335.529;361.176
13.5;313.176;335.059;361.176
13.52;313.176;334.588;361.176
13.54;313.176;334.118;359.059
13.56;315.765;334.118;356.706
13.58;313.647;336;355.294
13.6;311.294;334.118;355.294
13.62;309.412;332.471;349.412
13.64;307.529;330.118;343.765
13.66;305.412;326.824;340.235
13.68;303.529;322.824;340.235
13.7;299.765;322.353;335.529
13.72;297.412;319.529;329.647
13.74;292.471;313.647;326.824
13.76;288.706;309.412;325.882
13.78;285.176;304.471;326.824
13.8;284.706;303.529;324.471
13.82;281.882;301.647;322.824
13.84;278.353;301.647;322.824
13.86;275.529;301.647;322.353
13.88;272.706;301.647;322.824
13.9;273.647;299.765;322.824
13.92;276.471;299.765;326.353
13.94;276.941;300.706;330.118
13.96;278.353;302.118;331.529
13.98;284.706;304;335.059
14;284.706;306.588;340.706
14.02;285.647;308.471;343.765
14.04;286.588;309.882;348.471
14.06;289.647;312.706;353.412
14.08;292.471;316.706;354.824
14.1;294.824;322.353;360.706
14.12;297.412;327.765;363.059
14.14;300.706;325.412;364.941
14.16;302.118;324.471;342.824
14.18;303.529;322.824;342.824
14.2;304.471;324.471;338.353
14.22;-999;328.235;341.647
14.24;-999;326.824;341.176
14.26;-999;325.412;341.647
14.28;-999;321.412;342.353
14.3;-999;320;341.647
14.32;-999;320;337.882
14.34;-999;313.647;336
14.36;-999;314.588;334.118
14.38;-999;317.176;334.588
14.4;-999;319.529;337.412
14.42;-999;325.412;337.412
14.44;-999;326.824;348.471
14.46;-999;329.647;348.941
14.48;-999;323.765;348.941
14.5;299.765;323.294;346.118
14.52;301.647;323.765;343.765
14.54;302.118;323.765;343.765
14.56;301.176;325.412;343.765
14.58;299.765;326.824;342.353
14.6;299.765;323.765;337.882
14.62;295.294;320.941;333.647
14.64;290.588;320.941;329.647
14.66;283.294;315.294;328.706
14.68;282.824;308;328.706
14.7;281.618;308;328.235
14.72;281.618;308;327.294
14.74;285.294;308;326.353
14.76;285.647;305.412;325.412
14.78;285.647;305.412;326.353
14.8;282.824;307.529;326.824
14.82;282.824;308.941;328.235
14.84;-999;313.971;332.353
14.86;-999;290.441;305.412
14.88;-999;293.676;307.059
14.9;-999;287.059;314.118
14.92;-999;294.824;320.471
14.94;284.235;298.824;324.471
14.96;284.235;302.588;325.882
14.98;283.765;304.941;325.412
15;287.059;302.118;324.471
15.02;289.647;302.588;321.882
15.04;286.118;302.588;320
15.06;285.647;302.118;320
15.08;279.529;296.235;316.706
15.1;275.059;295.765;316.706
15.12;277.412;298.824;319.059
15.14;282.824;299.765;321.412
15.16;287.059;304.559;321.882
15.18;292;308.235;318.588
15.2;296.235;310.294;327.794
15.22;-999;314.265;328.676
15.24;-999;311.765;325.735
15.26;-999;310;325.441
15.28;-999;313.088;329.118
15.3;-999;314.265;334.588
15.32;-999;315.765;339.294
15.34;295.294;314.118;342.824
15.36;295.294;314.118;336.941
15.38;295.294;315.765;336.941
15.4;295.294;318.118;337.412
15.42;296.235;319.059;338.824
15.44;299.765;319.529;341.647
15.46;310.353;323.294;345.647
15.48;307.059;324.471;346.588
15.5;307.059;331.529;347.059
15.52;313.971;363.059;374.588
15.54;325.147;358.588;373.176
15.56;327.794;352.941;369.412
15.58;325.735;348.941;362.118
15.6;321.882;344.235;360.706
15.62;316.235;339.294;358.588
15.64;309.882;337.882;352.941
15.66;302.118;336.471;355.294
15.68;301.176;334.118;349.412
15.7;301.176;326.353;350.824
15.72;301.176;325.882;356.706
15.74;301.176;327.765;358.588
15.76;303.529;330.118;358.588
15.78;306.588;330.588;357.647
15.8;308;332.471;355.765
15.82;311.765;333.647;353.882
15.84;313.176;332;350.824
15.86;308.471;331.529;348.941
15.88;303.529;331.529;346.588
15.9;299.294;325.412;346.118
15.92;294.353;317.647;337.882
15.94;286.118;308.941;325.882
15.96;278.353;307.059;323.294
15.98;277.412;304.941;323.294
16;276.941;300.706;328.235
16.02;276.941;303.059;329.176
16.04;278.353;303.059;328.235
16.06;285.647;307.059;327.294
16.08;285.647;306.588;327.765
16.1;288.706;306.588;328.706
16.12;290.588;305.882;329.647
16.14;291.529;309.412;329.647
16.16;289.647;310.824;333.647
16.18;291.059;310.824;336.941
16.2;292.471;315.294;342.353
16.22;296.235;317.176;345.647
16.24;296.706;318.588;347.059
16.26;302.118;320;352
16.28;303.059;321.412;352.941
16.3;304.941;323.765;353.412
16.32;307.529;327.765;357.176
16.34;308;328.706;358.588
16.36;308.941;328.235;354.824
16.38;309.412;329.647;354.824
16.4;310.824;332;355.294
16.42;311.765;333.647;355.294
16.44;310.824;333.647;354.824
16.46;310.353;332.941;355.294
16.48;310.353;337.882;359.529
16.5;313.647;338.824;361.176
16.52;317.176;339.765;366.353
16.54;321.882;340.706;371.294
16.56;325.412;342.353;368.706
16.58;325.882;346.588;368.235
16.6;327.765;348.471;373.647
16.62;331.059;351.529;376.941
16.64;332.941;353.412;379.529
16.66;337.882;354.353;382.824
16.68;339.294;359.059;387.059
16.7;339.765;359.059;387.765
16.72;338.353;359.059;386.588
16.74;332.471;359.529;385.176
16.76;330.588;357.647;381.412
16.78;329.176;356.235;380.471
16.8;335.529;354.824;380.941
16.82;334.118;354.824;380.471
16.84;332.941;354.824;377.412
16.86;332;356.706;376.471
16.88;332.941;356.706;377.412
16.9;332;353.882;380.471
16.92;331.529;353.882;380
16.94;336;358.588;389.176
16.96;336.941;362.588;392.471
16.98;333.647;364;390.118
17;332;365.882;388.706
17.02;332;361.176;385.176
17.04;332;357.647;381.882
17.06;332;356.706;382.353
17.08;331.059;355.765;380
17.1;330.118;355.765;377.412
17.12;329.647;355.765;376.471
17.14;325.882;356.235;376
17.16;325.412;352.941;375.059
17.18;323.765;349.882;369.882
17.2;320.471;344.235;367.294
